SCHOOLJAAR 2012-2013 IN HET VO (peildatum 1 oktober 2012);;;;;;;SCHOOLJAAR 2013-2014 IN HET HO (peildatum 1 oktober 2013);;;;;
BRIN NUMMER;VESTINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;21PM;WO;recht;268;Nijmegen;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;economie;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;economie;163;Hellendoorn;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;economie;168;Losser;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;economie;183;Tubbergen;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;gedrag en maatschappij;189;Wierden;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat;25JX;HBO;economie;935;Maastricht;1
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;21PB;WO;sectoroverstijgend;518;s-Gravenhage;1
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;21PB;WO;taal en cultuur;546;Leiden;1
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;21PD;WO;taal en cultuur;344;Utrecht;1
00AH;7;153;ENSCHEDE;vwo;diploma;cul/maat;21PM;WO;gedrag en maatschappij;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;gezondheidszorg;14;Groningen;2
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;recht;14;Groningen;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PD;WO;gezondheidszorg;344;Utrecht;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PD;WO;natuur;344;Utrecht;2
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PF;WO;techniek;503;Delft;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;gezondheidszorg;153;Enschede;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PH;WO;techniek;153;Enschede;3
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PI;WO;landbouw en natuurlijke omgeving;228;Ede;2
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PL;WO;sectoroverstijgend;363;Amsterdam;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PM;WO;gedrag en maatschappij;202;Arnhem;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PM;WO;gezondheidszorg;268;Nijmegen;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PM;WO;natuur;268;Nijmegen;1
00AH;7;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;25KB;HBO;gezondheidszorg;240;Groenlo;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PB;WO;recht;579;Oegstgeest;1
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PD;WO;gedrag en maatschappij;344;Utrecht;2
00AH;7;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;21PE;WO;taal en cultuur;599;Rotterdam;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech;07GR;HBO;techniek;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech;21MI;HBO;techniek;1714;Sluis;2
00AQ;0;1714;SLUIS;havo;diploma;nat/tech;21UI;HBO;techniek;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;07GR;HBO;gezondheidszorg;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;21MI;HBO;gezondheidszorg;1714;Sluis;4
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;21MI;HBO;techniek;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;22OJ;HBO;gezondheidszorg;599;Rotterdam;1
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;23AH;HBO;gedrag en maatschappij;150;Deventer;1
00AQ;0;1714;SLUIS;havo;diploma;nat/gezond;30TX;HBO;landbouw en natuurlijke omgeving;228;Ede;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;07GR;HBO;economie;758;Breda;2
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;07GR;HBO;onderwijs;826;Oosterhout;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21MI;HBO;economie;715;Terneuzen;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21MI;HBO;economie;718;Vlissingen;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21MI;HBO;economie;1714;Sluis;8
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21MI;HBO;gedrag en maatschappij;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21MI;HBO;onderwijs;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21MI;HBO;sectoroverstijgend;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;21UI;HBO;economie;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;22OJ;HBO;economie;599;Rotterdam;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;30GB;HBO;economie;855;Tilburg;2
00AQ;0;1714;SLUIS;havo;diploma;ec/maat;30GB;HBO;onderwijs;855;Tilburg;1
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;21MI;HBO;economie;718;Vlissingen;1
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;21MI;HBO;economie;1714;Sluis;3
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;21MI;HBO;gezondheidszorg;715;Terneuzen;1
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;21UI;HBO;economie;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;25DW;HBO;economie;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;28DN;HBO;onderwijs;400;Den Helder;1
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;30GB;HBO;economie;855;Tilburg;2
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;30GB;HBO;onderwijs;855;Tilburg;3
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;30TX;HBO;landbouw en natuurlijke omgeving;289;Wageningen;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;07GR;HBO;techniek;758;Breda;3
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;21MI;HBO;economie;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;21MI;HBO;gezondheidszorg;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;21MI;HBO;techniek;1714;Sluis;4
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;21UI;HBO;techniek;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;25DW;HBO;onderwijs;344;Utrecht;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;25JX;HBO;economie;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;25KB;HBO;techniek;268;Nijmegen;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;30GB;HBO;techniek;772;Eindhoven;2
00AQ;0;1714;SLUIS;havo;diploma;ec/maat & cul/maat;07GR;HBO;gedrag en maatschappij;758;Breda;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat & cul/maat;21MI;HBO;economie;715;Terneuzen;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat & cul/maat;21MI;HBO;economie;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat & cul/maat;21MI;HBO;onderwijs;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat & cul/maat;30GB;HBO;onderwijs;855;Tilburg;3
00AQ;0;1714;SLUIS;vwo;geen diploma;nat/gezond;25JX;HBO;gezondheidszorg;917;Heerlen;1
00AQ;0;1714;SLUIS;vwo;geen diploma;ec/maat & cul/maat;30GB;HBO;onderwijs;855;Tilburg;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech;21PD;WO;natuur;344;Utrecht;2
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech;21PF;WO;techniek;503;Delft;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/gezond;21PM;WO;natuur;268;Nijmegen;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat;07GR;HBO;economie;758;Breda;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat;21MI;HBO;economie;1714;Sluis;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat;21PE;WO;economie;599;Rotterdam;3
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat;21PI;WO;landbouw en natuurlijke omgeving;289;Wageningen;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat;21PJ;WO;economie;935;Maastricht;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat;21PN;WO;economie;855;Tilburg;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat;25KB;HBO;onderwijs;268;Nijmegen;1
00AQ;0;1714;SLUIS;vwo;diploma;cul/maat;21MI;HBO;gedrag en maatschappij;1714;Sluis;1
00AQ;0;1714;SLUIS;vwo;diploma;cul/maat;21PE;WO;gedrag en maatschappij;599;Rotterdam;1
00AQ;0;1714;SLUIS;vwo;diploma;cul/maat;21PM;WO;gedrag en maatschappij;268;Nijmegen;1
00AQ;0;1714;SLUIS;vwo;diploma;cul/maat;25DW;HBO;gedrag en maatschappij;344;Utrecht;1
00AQ;0;1714;SLUIS;vwo;diploma;cul/maat;30GB;HBO;economie;855;Tilburg;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PB;WO;natuur;613;Albrandswaard;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PD;WO;gezondheidszorg;321;Houten;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PD;WO;natuur;344;Utrecht;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PE;WO;economie;599;Rotterdam;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PE;WO;gezondheidszorg;599;Rotterdam;2
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PF;WO;techniek;503;Delft;2
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PG;WO;techniek;772;Eindhoven;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PI;WO;landbouw en natuurlijke omgeving;228;Ede;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PI;WO;landbouw en natuurlijke omgeving;289;Wageningen;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat & cul/maat;21MI;HBO;economie;1714;Sluis;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat & cul/maat;21PB;WO;gedrag en maatschappij;546;Leiden;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat & cul/maat;21PB;WO;taal en cultuur;546;Leiden;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat & cul/maat;21PN;WO;gedrag en maatschappij;855;Tilburg;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat & cul/maat;21RI;HBO;onderwijs;546;Leiden;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat & cul/maat;30GB;HBO;gedrag en maatschappij;772;Eindhoven;1
00BD;0;627;WADDINXVEEN;havo;diploma;nat/tech;21RI;HBO;techniek;499;Boskoop;1
00BD;0;627;WADDINXVEEN;havo;diploma;nat/tech;22OJ;HBO;techniek;627;Waddinxveen;3
00BD;0;627;WADDINXVEEN;havo;diploma;nat/tech;27UM;HBO;techniek;627;Waddinxveen;1
00BD;0;627;WADDINXVEEN;havo;diploma;nat/gezond;21MI;HBO;techniek;718;Vlissingen;1
00BD;0;627;WADDINXVEEN;havo;diploma;nat/gezond;21RI;HBO;gezondheidszorg;499;Boskoop;1
00BD;0;627;WADDINXVEEN;havo;diploma;nat/gezond;21RI;HBO;techniek;499;Boskoop;1
