SCHOOLJAAR 2010-2011 IN HET VO (peildatum 1 oktober 2010);;;;;;;SCHOOLJAAR 2011-2012 IN HET HO (peildatum 1 oktober 2011);;;;;
BRIN NUMMER;VESTINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PB;wo;gezondheidszorg;1926;Pijnacker-Nootdorp;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PD;wo;natuur;344;Utrecht;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PD;wo;natuur;518;s-Gravenhage;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PE;wo;economie;518;s-Gravenhage;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PF;wo;techniek;503;Delft;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PF;wo;techniek;518;s-Gravenhage;3
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PF;wo;techniek;603;Rijswijk;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PF;wo;techniek;1916;Leidschendam-Voorburg;3
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/tech;21PG;wo;techniek;772;Eindhoven;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PB;wo;gezondheidszorg;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PB;wo;gedrag en maatschappij;603;Rijswijk;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PB;wo;gedrag en maatschappij;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PD;wo;natuur;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PD;wo;gedrag en maatschappij;345;Veenendaal;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PE;wo;gezondheidszorg;1926;Pijnacker-Nootdorp;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PE;wo;economie;518;s-Gravenhage;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PE;wo;economie;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PE;wo;economie;1926;Pijnacker-Nootdorp;2
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PK;wo;natuur;1926;Pijnacker-Nootdorp;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;nat/gezond;21PL;wo;gezondheidszorg;363;Amsterdam;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;ec/maat;21PB;wo;onderwijs;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;ec/maat;21PB;wo;recht;518;s-Gravenhage;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;ec/maat;21PB;wo;recht;603;Rijswijk;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;ec/maat;21PB;wo;gedrag en maatschappij;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;ec/maat;21PB;wo;gedrag en maatschappij;1926;Pijnacker-Nootdorp;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;ec/maat;21PD;wo;gedrag en maatschappij;503;Delft;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;ec/maat;21PE;wo;economie;603;Rijswijk;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;ec/maat;21PE;wo;economie;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;cul/maat;21PB;wo;gedrag en maatschappij;603;Rijswijk;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;cul/maat;21PB;wo;gedrag en maatschappij;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;cul/maat;21PB;wo;taal en cultuur;503;Delft;1
00HI;0;1916;Leidschendam-Voorburg;vwo;diploma;cul/maat;21PB;wo;taal en cultuur;1926;Pijnacker-Nootdorp;1
