SCHOOLJAAR 2013-2014 IN HET VO (peildatum 1 oktober 2013);;;;;;;SCHOOLJAAR 2014-2015 IN HET HO (peildatum 1 oktober 2014);;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AQ;0;1714;SLUIS;havo;diploma;cul/maat;30GB;HBO;onderwijs;855;Tilburg;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;21MI;HBO;onderwijs;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;21MI;HBO;techniek;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;25KB;HBO;techniek;202;Arnhem;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;28DN;HBO;techniek;394;Haarlemmermeer;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;30GB;HBO;gedrag en maatschappij;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;30GB;HBO;onderwijs;855;Tilburg;2
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;30GB;HBO;techniek;757;Boxtel;1
00AQ;0;1714;SLUIS;havo;diploma;nat/tech & nat/gezond;30GB;HBO;techniek;772;Eindhoven;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat & cul/maat;21MI;HBO;economie;1714;Sluis;2
00AQ;0;1714;SLUIS;havo;diploma;ec/maat & cul/maat;21MI;HBO;onderwijs;1714;Sluis;1
00AQ;0;1714;SLUIS;havo;diploma;ec/maat & cul/maat;25DW;HBO;gedrag en maatschappij;344;Utrecht;2
00AQ;0;1714;SLUIS;vwo;geen diploma;ec/maat;21MI;HBO;economie;1714;Sluis;1
00AQ;0;1714;SLUIS;vwo;geen diploma;ec/maat & cul/maat;22OJ;HBO;onderwijs;1714;Sluis;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat;21PK;WO;taal en cultuur;394;Haarlemmermeer;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat;21PN;WO;gedrag en maatschappij;855;Tilburg;2
00AQ;0;1714;SLUIS;vwo;diploma;cul/maat;21PB;WO;taal en cultuur;546;Leiden;1
00AQ;0;1714;SLUIS;vwo;diploma;cul/maat;21PE;WO;recht;599;Rotterdam;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PE;WO;gezondheidszorg;599;Rotterdam;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PF;WO;techniek;503;Delft;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PG;WO;techniek;772;Eindhoven;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PK;WO;natuur;363;Amsterdam;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PM;WO;gezondheidszorg;268;Nijmegen;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;21PM;WO;natuur;268;Nijmegen;1
00AQ;0;1714;SLUIS;vwo;diploma;nat/tech & nat/gezond;22OJ;HBO;gezondheidszorg;599;Rotterdam;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat & cul/maat;21MI;HBO;economie;1714;Sluis;1
00AQ;0;1714;SLUIS;vwo;diploma;ec/maat & cul/maat;21PB;WO;gedrag en maatschappij;546;Leiden;1
00BD;0;627;WADDINXVEEN;havo;diploma;nat/tech;22OJ;HBO;economie;627;Waddinxveen;1
00BD;0;627;WADDINXVEEN;havo;diploma;nat/tech;22OJ;HBO;onderwijs;499;Boskoop;1
00BD;0;627;WADDINXVEEN;havo;diploma;nat/tech;25DW;HBO;techniek;499;Boskoop;2
00BD;0;627;WADDINXVEEN;havo;diploma;nat/tech;27UM;HBO;economie;627;Waddinxveen;2
